InstanceID,MaritalStatus,ApplicationMode,Course,DaytimeEveningAttendance,ApplicationOrder,PreviousQualification,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,PreviousQualificationGrade,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,International,AgeAtEnrollment,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Class
Student_00978,2,1,9085,1,1,1,1,19,19,192,144,139.0,127.1,0,0,0,1,1,1,0,23,0,5,6,5,11.8,0,0,5,7,4,13.25,1,10.8,1.4,1.74,2
Student_00979,1,39,9991,0,1,19,1,19,37,7,5,133.1,155.5,1,0,1,0,1,0,0,39,0,5,6,5,10.6,0,0,5,7,5,14.666666666666666,0,10.8,1.4,1.74,0
Student_00980,1,18,9003,1,1,1,1,1,38,9,6,133.1,101.0,0,0,0,1,1,0,0,21,5,11,16,9,11.9,0,3,9,14,8,12.25,0,15.5,2.8,NA,2
Student_00981,1,42,9119,1,1,6,1,35,35,6,6,120.0,128.2,1,0,0,1,1,0,0,34,4,6,8,4,11.25,0,1,5,8,2,10.5,0,7.6,2.6,0.32,0
Student_00982,2,39,9991,0,1,1,1,19,19,4,4,100.0,113.0,0,0,0,1,1,1,0,41,0,5,9,4,11.0,0,0,5,6,5,11.4,0,8.9,1.4,3.51,1
Student_00983,1,1,9773,1,1,1,1,NA,38,4,5,134.0,122.8,0,0,0,1,1,0,0,18,0,6,6,6,12.0,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,2
Student_00984,2,39,9991,0,1,1,1,38,38,9,3,130.0,145.6,0,0,0,1,1,0,0,34,0,5,10,4,11.75,0,0,5,10,4,10.833333333333334,0,13.9,-0.3,0.79,1
Student_00985,1,1,9147,1,1,1,1,1,1,2,10,128.0,116.5,0,0,0,1,1,0,0,19,0,5,8,2,10.0,0,0,5,8,1,16.0,0,7.6,2.6,0.32,0
Student_00986,1,1,9500,1,1,1,1,19,19,3,3,154.0,142.0,0,0,0,1,1,0,0,19,0,8,8,7,13.714285714285714,0,0,8,8,7,13.714285714285714,0,12.7,3.7,-1.7,2
Student_00987,1,7,9003,1,1,4,1,1,1,4,6,150.0,150.0,0,0,0,1,1,0,0,28,0,6,14,6,14.875,0,0,6,12,6,15.8,0,16.2,0.3,-0.92,2
Student_00988,1,17,9070,1,1,1,1,1,1,5,0,134.0,133.3,1,0,0,1,1,0,0,18,0,6,7,5,10.8,1,0,6,6,0,0.0,0,7.6,2.6,0.32,0
Student_00989,1,1,9238,1,1,1,1,2,2,3,4,127.0,115.8,1,0,0,1,1,0,0,19,0,6,11,3,12.0,0,0,6,12,2,10.0,0,11.1,0.6,NA,0
Student_00990,1,17,9085,1,2,1,1,19,38,9,1,133.1,100.0,1,0,1,0,1,0,0,19,0,6,10,5,12.5,0,0,6,19,2,13.5,0,12.4,0.5,1.79,0
Student_00991,1,17,9500,1,1,1,1,1,3,9,2,130.0,128.6,1,0,0,1,0,0,0,18,0,7,7,7,14.728571428571428,0,0,8,11,8,16.327272727272728,0,16.2,0.3,-0.92,2
Student_00992,1,1,9130,1,1,NA,1,3,3,2,2,135.0,137.1,1,0,0,1,0,0,0,18,0,6,8,6,12.0,0,0,6,8,5,NA,0,12.4,0.5,1.79,2
Student_00993,1,1,9773,1,1,1,1,1,3,3,3,143.0,149.0,1,0,0,1,0,0,0,18,0,6,8,6,11.428571428571429,0,0,6,7,6,11.0,0,11.1,0.6,2.02,0
Student_00994,1,44,9238,1,2,39,1,3,19,4,9,150.0,147.0,1,0,0,1,0,0,0,19,3,6,6,6,14.166666666666666,0,2,6,6,6,13.5,0,12.4,0.5,1.79,2
Student_00995,2,7,9238,1,1,3,1,37,37,191,192,150.0,NA,0,0,0,1,0,0,0,31,1,6,12,5,12.5,0,0,6,10,5,14.6,0,12.7,3.7,-1.7,2
Student_00996,1,39,8014,0,1,1,1,37,37,9,8,130.0,103.5,0,0,0,1,0,1,0,33,0,6,6,6,14.166666666666666,0,0,6,6,6,14.333333333333334,0,12.7,3.7,-1.7,2
Student_00997,1,1,9500,1,3,1,1,3,1,134,135,113.0,107.8,1,0,0,1,0,1,0,20,0,7,10,5,14.46,0,0,7,8,6,13.55,0,12.4,0.5,1.79,1
Student_00998,1,44,9085,1,1,39,6,19,1,6,4,130.0,130.0,1,0,0,1,0,0,1,22,0,6,12,5,12.8,0,0,6,19,2,11.5,0,12.4,0.5,1.79,1
Student_00999,1,17,9254,1,1,1,1,1,19,3,3,115.0,109.4,1,0,0,1,0,0,0,19,0,6,8,6,12.666666666666666,0,0,6,8,5,13.4,0,11.1,0.6,2.02,2
Student_01000,1,1,9070,1,3,1,1,34,34,0,0,146.0,143.6,1,0,0,1,0,0,0,18,0,6,6,6,12.5,0,0,6,6,6,13.0,0,7.6,2.6,0.32,0
Student_01001,1,17,9070,1,3,1,1,38,1,5,5,132.0,124.3,0,1,0,1,0,0,0,18,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,0
Student_01002,1,1,9670,1,5,1,1,19,38,9,9,116.0,119.5,1,0,0,0,0,0,0,18,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,0
Student_01003,1,1,171,1,1,1,1,3,4,2,5,163.0,175.6,1,0,0,1,0,0,0,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,2
Student_01004,1,17,9147,1,2,1,1,19,19,7,7,122.0,116.1,1,0,0,1,0,1,0,19,0,5,8,5,11.2,0,0,5,5,3,11.0,0,12.4,0.5,1.79,2
Student_01005,1,17,9238,1,2,1,1,1,3,3,4,136.0,126.6,1,0,0,1,0,0,0,18,0,6,6,6,16.5,0,0,6,7,6,17.428571428571427,0,11.1,0.6,2.02,0
Student_01006,1,17,9085,1,1,1,1,3,19,5,5,142.0,130.8,1,0,0,1,0,0,0,18,0,5,9,3,13.666666666666666,1,0,5,5,5,12.0,0,12.7,3.7,-1.7,2
Student_01007,1,17,9500,1,6,1,1,37,37,9,6,139.0,133.5,1,0,0,1,0,1,0,18,0,8,8,7,15.228571428571428,0,0,8,8,7,15.228571428571428,0,12.7,3.7,-1.7,2
Student_01008,1,53,9238,1,1,42,1,37,37,9,10,140.0,136.9,1,0,0,1,0,0,0,21,5,9,10,9,12.77777777777778,0,4,9,9,9,13.22222222222222,0,8.9,1.4,3.51,2
Student_01009,1,1,9500,1,1,1,1,19,37,5,5,165.0,142.3,0,0,0,1,0,1,0,18,0,8,8,7,14.428571428571429,0,0,8,8,7,14.428571428571429,0,12.7,3.7,-1.7,2
Student_01010,1,17,9670,1,3,1,1,1,38,3,3,122.0,114.3,1,0,0,1,0,0,0,18,0,6,8,6,13.875,0,0,6,7,6,13.714285714285714,0,11.1,0.6,2.02,2
Student_01011,1,1,9500,1,2,1,1,19,19,9,10,135.0,122.9,1,0,0,1,0,0,0,18,0,7,10,7,13.128,0,0,8,13,6,13.193333333333332,0,15.5,2.8,-4.06,2
Student_01012,1,17,9500,1,1,1,1,19,1,4,3,128.0,117.2,1,0,0,1,0,0,0,20,0,7,9,6,11.605,0,0,8,10,7,12.4125,0,16.2,0.3,-0.92,2
Student_01013,1,17,9147,1,1,1,1,1,38,4,5,139.0,152.0,0,0,0,1,0,1,0,18,0,5,5,5,14.6,0,0,5,8,5,12.0,0,12.7,3.7,-1.7,2
Student_01014,1,1,9773,1,2,1,1,19,1,4,5,125.0,122.2,1,0,0,1,0,0,0,18,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,0
Student_01015,1,18,9147,1,2,1,1,37,38,191,143,102.0,101.7,1,0,0,1,0,1,0,20,0,5,6,5,11.8,0,0,5,6,5,11.6,0,8.9,1.4,3.51,2
Student_01016,1,17,9254,1,1,1,1,19,19,9,8,116.0,119.9,1,0,0,1,0,0,0,20,0,6,6,6,12.333333333333334,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,2
Student_01017,1,17,9147,1,1,1,1,37,1,9,9,138.0,123.7,1,0,1,1,0,1,0,19,0,5,5,4,11.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,0
Student_01018,1,51,9070,1,1,1,1,3,1,3,5,135.0,121.8,0,0,0,1,0,1,0,19,5,11,11,11,13.181818181818182,0,5,11,11,11,12.909090909090908,0,11.1,0.6,2.02,2
Student_01019,1,17,9670,1,4,1,1,19,37,9,99,110.0,106.1,1,1,1,0,0,1,0,18,0,6,6,1,11.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0
Student_01020,1,17,9773,1,3,1,1,1,1,4,9,132.0,124.3,1,0,1,1,0,1,0,19,0,6,6,6,11.833333333333334,0,0,6,7,6,12.285714285714286,0,15.5,2.8,-4.06,2
Student_01021,1,1,9500,1,2,1,1,1,38,4,7,NA,124.3,1,0,0,1,0,1,0,20,0,8,8,8,12.98125,0,0,8,8,8,12.98125,0,9.4,-0.8,-3.12,2
Student_01022,1,44,9147,1,1,39,1,19,1,4,9,117.4,117.4,1,0,0,1,0,0,0,21,4,7,10,6,11.333333333333334,0,1,5,6,5,11.2,0,11.1,0.6,2.02,2
Student_01023,NA,43,9500,1,2,1,1,41,3,2,2,120.0,112.7,0,0,0,1,0,0,0,21,0,8,12,6,11.68,0,0,8,12,6,11.68,0,10.8,1.4,1.74,2
Student_01024,1,17,9070,1,1,1,1,38,38,9,9,116.0,123.7,0,0,0,1,0,0,0,20,0,6,6,6,14.5,0,0,6,7,6,13.5,0,11.1,0.6,2.02,2
Student_01025,1,18,9853,1,2,1,1,38,38,191,171,111.0,105.8,1,0,0,1,0,0,0,19,0,7,7,7,13.142857142857142,0,0,7,8,7,12.857142857142858,0,8.9,1.4,3.51,2
Student_01026,1,17,9085,1,3,1,1,1,19,4,90,128.0,124.2,0,0,0,0,0,0,0,21,0,5,8,2,11.5,0,0,5,7,2,10.5,0,7.6,2.6,0.32,0
Student_01027,1,1,9085,1,1,1,1,30,19,4,90,123.0,122.3,0,0,0,1,0,0,0,18,0,5,6,5,14.2,0,0,5,7,5,11.8,0,7.6,2.6,0.32,2
Student_01028,1,1,9254,1,5,1,1,19,37,9,9,131.0,123.7,0,0,0,1,0,1,0,19,0,6,8,5,11.666666666666666,0,0,6,7,5,12.2,0,8.9,1.4,3.51,2
Student_01029,1,17,9500,1,2,1,1,19,19,9,4,135.0,129.8,1,0,0,1,0,0,0,18,0,7,8,7,13.175,0,0,8,8,8,14.875,0,13.9,-0.3,0.79,2
Student_01030,1,1,9500,1,4,1,1,1,1,9,9,136.0,123.8,1,0,0,1,0,1,0,19,0,8,8,7,13.314285714285717,0,0,8,8,7,13.314285714285717,0,12.7,3.7,-1.7,2
Student_01031,1,1,9147,1,2,NA,1,1,19,4,3,132.0,126.4,1,0,0,1,0,1,0,18,0,5,13,3,10.6,0,0,5,12,3,10.5,0,13.9,-0.3,0.79,2
Student_01032,1,1,9853,1,1,1,1,19,37,5,7,120.0,115.1,0,0,0,1,0,1,0,18,0,6,11,4,12.0,0,0,6,8,4,10.75,0,15.5,2.8,-4.06,1
Student_01033,1,1,9773,1,1,1,1,37,37,8,8,144.0,138.4,0,0,0,1,0,0,0,18,0,6,7,6,13.428571428571429,0,0,6,7,6,14.142857142857142,0,13.9,-0.3,0.79,2
Student_01034,1,17,9085,1,1,1,1,1,37,9,9,129.0,118.2,1,0,0,1,0,1,0,18,0,5,7,4,13.25,0,0,5,8,5,15.571428571428571,0,10.8,1.4,1.74,2
Student_01035,1,17,9070,1,1,1,1,38,19,7,7,136.0,121.7,1,0,0,1,0,0,0,18,0,6,6,2,NA,0,0,6,6,0,0.0,0,12.4,0.5,NA,0
Student_01036,1,1,9070,1,3,1,1,1,38,9,7,125.0,118.0,0,0,0,1,0,1,0,18,0,6,6,6,14.333333333333334,0,0,6,7,6,14.0,0,11.1,0.6,2.02,1
Student_01037,1,17,9238,1,1,1,1,1,38,9,7,125.0,119.8,0,0,0,1,0,0,0,18,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,NA,0
Student_01038,1,1,9238,1,1,1,1,1,3,4,2,154.0,164.9,0,0,0,1,0,0,0,18,0,6,6,6,14.0,0,0,6,6,6,13.166666666666666,0,10.8,1.4,1.74,2
Student_01039,1,42,9085,1,1,1,1,1,38,4,9,100.0,100.0,1,0,0,1,0,1,0,20,1,2,2,2,12.0,0,1,6,11,6,12.833333333333334,0,13.9,-0.3,0.79,2
Student_01040,1,1,9853,1,1,1,1,3,1,2,5,124.0,121.6,0,0,0,1,0,0,0,18,0,6,9,5,12.333333333333334,0,0,6,10,5,10.6,0,15.5,2.8,-4.06,1
Student_01041,1,17,9070,1,4,1,1,1,19,4,5,126.0,120.4,1,0,0,1,0,0,0,18,0,6,8,5,11.8,0,0,6,7,5,10.4,1,16.2,0.3,-0.92,2
Student_01042,1,18,9500,1,6,1,1,37,37,9,7,124.0,117.8,0,0,0,1,0,1,0,20,0,8,8,7,12.791428571428572,1,0,8,8,7,12.791428571428572,1,10.8,1.4,1.74,2
Student_01043,4,43,9670,1,1,1,1,37,37,9,6,NA,110.0,0,0,0,1,0,0,0,40,4,8,8,8,11.625,0,3,7,12,5,11.2,0,9.4,-0.8,-3.12,2
Student_01044,1,1,9500,1,6,1,1,38,38,9,9,133.0,128.8,1,0,0,1,0,1,0,18,0,7,11,6,11.994444444444444,0,0,8,11,7,12.43142857142857,0,15.5,2.8,-4.06,2
Student_01045,1,1,9254,1,5,1,1,19,19,4,7,126.0,116.6,1,0,0,NA,0,0,0,19,0,6,9,5,11.6,0,0,6,12,5,12.2,0,13.9,-0.3,0.79,2
Student_01046,1,7,9991,0,1,40,1,1,19,4,9,120.0,120.0,0,0,0,1,0,0,0,24,0,5,5,0,NA,0,0,5,6,0,0.0,0,12.4,0.5,1.79,0
Student_01047,1,1,9773,1,3,1,1,3,38,2,10,175.0,157.5,1,0,0,1,0,0,0,19,0,6,8,6,13.166666666666666,0,0,6,7,6,13.166666666666666,0,10.8,1.4,1.74,0
Student_01048,1,1,9500,1,6,1,1,2,1,4,4,141.0,136.3,1,0,0,1,0,0,0,19,0,8,8,7,14.1,0,0,8,8,7,14.1,0,10.8,1.4,1.74,2
Student_01049,1,1,9500,1,1,1,1,1,19,9,6,133.0,121.5,1,0,0,1,0,1,0,20,0,7,8,6,12.396666666666668,0,0,8,9,7,12.94285714285714,0,11.1,0.6,2.02,2
Student_01050,1,1,9500,1,1,1,1,38,38,5,5,143.0,133.9,0,0,0,1,0,0,0,18,0,7,7,7,15.014285714285714,0,0,8,8,8,16.0875,0,12.4,0.5,1.79,2
Student_01051,1,1,171,1,1,1,1,1,38,4,8,141.0,136.8,1,0,0,1,0,1,0,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,2
Student_01052,1,17,9500,1,2,NA,1,19,37,4,7,134.0,133.5,1,0,0,1,0,0,0,19,0,7,8,7,14.05,0,0,8,8,8,15.1,0,13.9,-0.3,0.79,2
Student_01053,1,17,9500,1,3,1,1,3,3,4,5,138.0,130.0,1,0,0,1,0,0,0,18,0,7,8,7,14.85,0,0,8,8,8,15.2,0,13.9,-0.3,0.79,0
Student_01054,1,44,9085,1,1,39,1,3,3,2,2,140.0,140.0,1,0,0,1,0,0,0,19,0,6,10,6,13.0,0,0,6,19,5,13.0,0,12.4,0.5,1.79,2
Student_01055,1,1,9500,1,2,1,1,37,37,9,7,142.0,132.7,1,0,0,1,0,1,0,19,0,7,8,7,14.7875,0,0,8,8,8,15.8625,0,13.9,-0.3,0.79,2
Student_01056,1,1,9500,1,1,1,1,19,19,5,7,118.0,117.8,0,0,0,1,0,1,0,19,0,7,7,7,13.7,0,0,8,9,7,14.671428571428574,0,12.4,0.5,1.79,2
Student_01057,1,1,9500,1,2,1,1,1,37,4,4,131.0,126.1,1,0,0,1,0,1,0,19,0,7,7,7,12.495714285714286,0,0,8,9,7,12.242857142857144,0,11.1,0.6,2.02,0
Student_01058,1,1,9500,1,1,1,1,1,38,1,7,130.0,120.0,0,0,0,1,0,0,0,19,0,7,7,6,14.566666666666668,0,0,7,7,6,14.566666666666668,0,7.6,2.6,0.32,2
Student_01059,1,39,9670,1,1,12,1,1,19,1,5,133.1,100.0,1,0,1,0,0,0,0,25,0,5,5,5,11.2,0,0,5,5,4,11.25,0,9.4,-0.8,-3.12,0
Student_01060,1,1,9500,1,1,1,1,19,19,4,10,130.0,116.8,0,0,0,1,0,0,0,20,0,8,8,7,12.685714285714283,0,0,8,8,7,12.685714285714283,0,12.7,3.7,-1.7,2
Student_01061,1,53,9238,1,1,42,1,1,19,5,5,130.0,128.3,0,0,1,0,0,0,0,23,5,9,12,7,13.571428571428571,0,4,9,14,4,13.25,0,8.9,1.4,3.51,0
Student_01062,1,1,9070,1,1,1,1,19,19,7,7,133.1,117.0,0,0,0,1,0,0,0,20,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,0
Student_01063,1,39,8014,0,1,1,1,37,11,9,10,130.0,131.5,0,0,0,1,0,0,0,27,0,6,8,5,11.0,0,0,6,7,6,11.166666666666666,0,11.1,0.6,2.02,2
Student_01064,1,1,9500,1,1,1,1,19,1,4,4,149.0,134.8,0,0,0,1,0,0,0,18,0,8,8,8,14.445,0,0,8,8,8,14.445,0,9.4,-0.8,-3.12,2
Student_01065,1,1,9853,1,1,1,1,19,1,5,10,163.0,146.6,1,0,1,1,0,0,0,18,0,6,9,5,13.6,0,0,6,10,4,11.75,0,9.4,-0.8,-3.12,1
Student_01066,1,7,8014,0,1,40,1,19,1,5,10,130.0,130.0,1,0,1,0,0,0,0,23,7,12,12,11,14.0,0,4,10,11,8,14.625,0,13.9,-0.3,0.79,0
Student_01067,1,1,9500,1,6,1,1,38,37,5,6,145.0,127.5,1,0,0,1,0,1,0,19,0,7,7,6,13.416666666666666,0,0,7,7,6,13.416666666666666,0,7.6,2.6,0.32,2
Student_01068,1,1,9147,1,1,1,1,37,38,3,3,130.0,123.0,0,0,0,1,0,0,0,18,0,5,8,5,12.333333333333334,2,0,5,7,5,11.4,0,15.5,2.8,-4.06,2
Student_01069,1,43,9500,1,1,1,1,1,19,9,8,128.0,100.0,1,0,0,1,0,0,0,20,0,7,8,7,13.1,0,0,8,8,8,14.8125,0,13.9,-0.3,0.79,2
Student_01070,1,1,9670,1,2,1,1,19,19,9,9,111.0,114.2,1,0,0,1,0,0,0,18,0,6,9,4,13.2,0,0,6,10,5,12.8,0,12.4,0.5,1.79,2
Student_01071,1,1,9500,1,1,1,1,1,1,4,4,140.0,123.5,1,0,0,1,0,1,0,19,0,8,8,8,14.75,0,0,8,8,8,14.75,0,9.4,-0.8,-3.12,2
Student_01072,1,44,9238,1,1,39,1,19,19,8,8,140.0,144.3,1,0,0,NA,0,1,0,19,3,6,7,6,13.142857142857142,0,2,6,6,6,14.333333333333334,0,12.4,0.5,1.79,2
Student_01073,1,1,9853,1,1,1,1,38,37,5,NA,145.0,142.2,0,0,0,1,0,0,0,19,0,6,9,4,12.5,0,0,6,9,5,12.5,0,9.4,-0.8,-3.12,1
Student_01074,1,1,9085,1,1,1,1,3,3,1,90,151.0,161.9,0,0,0,1,0,0,0,18,0,5,6,4,13.75,0,0,5,8,5,14.857142857142858,0,7.6,2.6,0.32,2
Student_01075,1,1,9238,1,1,1,1,37,37,9,5,132.0,135.9,0,0,0,1,0,0,0,18,0,6,11,5,12.4,0,0,6,7,6,13.0,0,9.4,-0.8,-3.12,2
Student_01076,1,1,9773,1,2,1,1,19,19,4,7,116.0,110.1,1,0,0,1,0,0,0,18,0,6,6,6,13.333333333333334,0,0,6,6,6,12.0,0,11.1,0.6,2.02,2
Student_01077,1,2,9853,1,1,1,1,19,38,9,9,120.0,122.5,0,0,0,0,0,0,0,28,11,11,11,11,11.727272727272728,0,8,8,8,8,12.0,0,15.5,2.8,-4.06,0
Student_01078,1,17,9254,1,1,1,1,37,37,5,9,158.0,138.1,1,0,0,1,0,0,0,19,0,6,8,4,12.5,0,0,6,11,1,14.0,0,7.6,2.6,0.32,0
Student_01079,1,43,171,1,1,1,1,3,1,2,3,116.0,117.3,1,0,1,1,0,0,0,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,0
Student_01080,1,1,9500,1,2,1,1,1,37,4,9,112.0,106.8,1,0,0,1,0,1,0,19,0,7,8,6,13.533333333333331,0,0,8,9,7,13.614285714285714,0,12.4,0.5,1.79,2
Student_01081,1,1,9070,1,1,1,1,1,19,4,0,126.0,120.1,0,1,0,1,0,1,0,20,0,6,6,6,13.166666666666666,0,0,6,6,6,12.666666666666666,0,11.1,0.6,2.02,2
Student_01082,1,1,9254,1,2,1,1,19,19,9,9,120.0,116.5,1,0,0,1,0,1,0,19,0,6,9,5,13.2,0,0,6,8,5,11.0,0,12.4,0.5,1.79,2
Student_01083,1,51,9070,1,1,1,1,5,1,2,10,117.0,120.0,1,0,0,1,0,0,0,21,0,6,7,5,12.2,0,0,6,7,4,12.6,0,8.9,1.4,3.51,1
Student_01084,1,1,9853,1,1,1,NA,1,19,9,4,153.0,139.7,1,0,0,1,0,1,0,19,0,7,7,7,13.428571428571429,0,0,7,7,7,14.857142857142858,0,11.1,0.6,2.02,2
Student_01085,1,1,9070,1,2,1,1,19,1,9,3,124.0,123.7,1,0,0,1,0,1,0,18,1,6,8,6,12.714285714285714,1,0,6,8,6,12.625,0,13.9,-0.3,0.79,2
Student_01086,1,17,9130,1,2,1,1,3,1,2,NA,127.0,116.5,0,0,0,1,0,0,0,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,0
Student_01087,1,17,9670,1,1,1,1,12,38,9,5,126.0,122.2,0,0,0,1,0,1,0,19,0,6,6,6,13.666666666666666,0,0,6,9,6,13.666666666666666,0,8.9,1.4,3.51,2
Student_01088,1,1,9773,1,1,1,1,38,19,132,103,133.1,146.0,0,0,1,1,0,0,0,20,0,6,6,5,11.0,0,0,6,6,6,13.166666666666666,0,16.2,0.3,-0.92,2
Student_01089,1,17,9853,1,2,1,1,1,1,4,0,114.0,108.8,1,0,0,1,0,0,0,18,0,7,11,5,11.4,0,0,7,9,6,13.333333333333334,0,13.9,-0.3,0.79,1
Student_01090,1,43,171,1,1,1,1,19,19,5,7,133.0,133.0,0,0,0,1,0,0,0,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,1
Student_01091,1,17,9130,1,1,1,1,1,1,4,5,130.0,123.8,0,0,0,1,0,0,0,18,0,5,7,4,12.0,0,0,5,6,5,12.0,0,7.6,2.6,0.32,2
Student_01092,1,17,9773,1,3,1,1,19,19,5,8,127.0,120.0,0,0,0,1,0,0,0,18,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,0
Student_01093,1,17,9238,1,3,1,1,37,38,0,7,143.0,NA,1,0,0,1,0,0,0,18,0,6,14,5,11.0,0,0,6,6,6,11.666666666666666,0,7.6,2.6,0.32,2
Student_01094,1,18,9773,1,4,1,1,19,19,4,4,130.0,121.3,1,0,0,1,0,0,0,20,0,6,12,5,12.0,0,0,6,8,6,11.571428571428571,0,15.5,2.8,-4.06,0
Student_01095,1,17,9500,1,3,1,1,19,1,9,9,136.0,129.0,1,0,0,1,0,1,0,19,0,7,7,7,13.308571428571428,0,0,8,10,8,12.55,0,12.4,0.5,1.79,2
Student_01096,1,1,9853,1,1,1,1,37,37,9,9,125.0,114.9,1,0,1,0,0,0,0,21,0,6,8,3,13.666666666666666,0,0,6,7,3,10.666666666666666,0,15.5,2.8,-4.06,0
Student_01097,1,17,9670,1,1,3,1,12,3,5,8,110.0,106.5,1,0,1,0,0,0,0,20,0,6,6,0,0.0,0,0,6,9,0,0.0,0,10.8,1.4,1.74,0
Student_01098,1,1,9254,1,1,1,1,37,38,9,9,130.0,133.9,1,0,0,1,0,0,0,18,0,6,10,5,12.2,0,0,6,8,4,11.25,0,9.4,-0.8,-3.12,2
Student_01099,1,1,9773,1,1,1,1,1,4,5,3,135.0,124.9,0,0,0,1,0,1,0,20,0,6,7,6,12.666666666666666,0,0,6,6,6,12.833333333333334,0,10.8,1.4,1.74,2
Student_01100,1,1,9500,1,2,1,1,19,37,1,9,133.0,128.5,1,0,0,1,0,1,0,19,0,8,8,8,14.07125,0,0,8,8,8,14.07125,0,9.4,-0.8,-3.12,2
Student_01101,1,1,9085,1,1,6,1,19,19,9,NA,122.0,126.2,1,0,0,1,0,0,0,22,0,5,14,4,14.25,3,0,5,9,5,13.2,4,9.4,-0.8,-3.12,0
Student_01102,1,17,9130,1,1,1,1,19,19,9,9,122.0,121.7,1,0,0,0,0,0,0,22,0,6,0,0,0.0,0,0,2,2,0,0.0,2,9.4,-0.8,-3.12,0
Student_01103,1,1,9853,1,2,1,1,38,38,7,5,121.0,120.0,1,0,0,1,0,0,0,18,0,6,10,3,12.0,0,0,6,8,4,10.25,0,10.8,1.4,1.74,1
Student_01104,1,43,9147,1,1,1,1,3,19,9,9,123.0,113.2,0,0,0,1,0,0,0,21,3,10,18,6,11.166666666666666,2,4,10,16,7,10.571428571428571,0,7.6,2.6,0.32,1
Student_01105,1,1,9238,1,1,1,1,19,19,0,5,128.0,120.3,1,0,0,1,0,0,0,19,0,6,12,2,13.0,0,0,6,8,5,11.6,0,7.6,2.6,0.32,2
Student_01106,1,1,171,1,4,1,1,37,38,9,9,139.0,127.8,1,0,0,1,0,0,0,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
Student_01107,1,1,9500,1,2,1,1,34,34,0,0,124.0,123.3,1,0,0,1,0,1,0,20,0,8,8,7,14.901428571428571,1,0,8,8,7,14.901428571428571,1,9.4,-0.8,-3.12,0
Student_01108,1,1,9500,1,3,1,1,38,19,8,8,135.0,126.3,1,0,1,1,0,1,0,18,0,7,8,7,12.65,0,0,8,9,8,12.445555555555554,0,15.5,2.8,-4.06,2
Student_01109,1,51,9991,0,1,42,1,19,37,5,9,110.0,128.2,0,0,0,0,0,0,0,22,7,12,12,7,11.0,0,5,5,5,5,10.6,0,8.9,1.4,3.51,0
Student_01110,1,17,9085,1,4,1,1,19,36,90,7,138.0,134.9,1,0,0,1,0,0,0,20,0,5,7,4,12.4,0,0,5,9,5,12.666666666666666,0,7.6,2.6,0.32,2
Student_01111,1,44,9003,1,1,39,1,38,38,6,6,140.0,140.0,0,0,0,1,0,0,0,19,0,6,7,6,12.0,0,0,6,7,6,12.666666666666666,0,12.4,0.5,1.79,2
Student_01112,1,1,9500,1,5,1,1,1,19,6,7,126.0,115.5,1,0,0,1,0,1,0,19,0,7,8,7,NA,0,0,8,10,7,13.328571428571427,0,12.4,0.5,1.79,2
Student_01113,1,1,9500,1,2,1,1,38,19,9,7,113.0,106.7,1,0,0,1,0,1,0,20,0,7,10,5,12.62,0,0,7,8,6,12.5,0,11.1,0.6,2.02,1
Student_01114,1,39,9991,0,1,1,1,38,38,3,3,120.0,140.0,0,0,0,1,0,0,0,25,0,5,11,3,10.666666666666666,0,0,5,11,3,11.333333333333334,0,15.5,2.8,-4.06,1
Student_01115,1,1,9500,1,1,1,1,19,19,9,7,145.0,136.6,0,0,0,1,0,1,0,19,0,7,12,6,13.766666666666666,0,0,8,10,7,14.051428571428572,0,15.5,2.8,-4.06,2
